Model,PCA,pi,lambda,C,gamma,G0,G1,Accuracy,Error rate,minDCF
Quadratic Logistic Regression,0,0.900,0.0010000,_,_,_,_,93.118,6.882,0.09382
Quadratic Logistic Regression,0,0.900,0.0001000,_,_,_,_,93.075,6.925,0.09434
Quadratic Logistic Regression,0,0.900,0.0000010,_,_,_,_,93.118,6.882,0.09632
Quadratic Logistic Regression,8,0.900,0.0010000,_,_,_,_,92.473,7.527,0.09702
Quadratic Logistic Regression,9,0.900,0.0010000,_,_,_,_,92.903,7.097,0.09735
Quadratic Logistic Regression,5,0.900,0.0010000,_,_,_,_,91.742,8.258,0.09746
Quadratic Logistic Regression,6,0.900,0.0010000,_,_,_,_,92.172,7.828,0.09776
Quadratic Logistic Regression,5,0.900,0.0000010,_,_,_,_,91.699,8.301,0.09819
Quadratic Logistic Regression,6,0.900,0.0000010,_,_,_,_,92.215,7.785,0.09827
Quadratic Logistic Regression,6,0.900,0.0001000,_,_,_,_,92.215,7.785,0.09827
Quadratic Logistic Regression,7,0.900,0.0001000,_,_,_,_,92.301,7.699,0.09850
Quadratic Logistic Regression,5,0.900,0.0001000,_,_,_,_,91.871,8.129,0.09850
Quadratic Logistic Regression,7,0.900,0.0010000,_,_,_,_,92.215,7.785,0.09862
Quadratic Logistic Regression,9,0.900,0.0000010,_,_,_,_,92.989,7.011,0.09910
Quadratic Logistic Regression,9,0.900,0.0001000,_,_,_,_,92.989,7.011,0.09910
Quadratic Logistic Regression,7,0.900,0.0000010,_,_,_,_,92.301,7.699,0.09954
Quadratic Logistic Regression,5,0.900,0.1000000,_,_,_,_,90.882,9.118,0.09964
Quadratic Logistic Regression,6,0.900,0.1000000,_,_,_,_,91.527,8.473,0.09994
Quadratic Logistic Regression,8,0.900,0.0000010,_,_,_,_,92.473,7.527,0.09995
Quadratic Logistic Regression,8,0.900,0.0001000,_,_,_,_,92.559,7.441,0.09995
Quadratic Logistic Regression,9,0.900,0.1000000,_,_,_,_,91.656,8.344,0.10079
Quadratic Logistic Regression,8,0.900,0.1000000,_,_,_,_,91.570,8.430,0.10079
Quadratic Logistic Regression,8,0.900,1.0000000,_,_,_,_,90.409,9.591,0.10110
Quadratic Logistic Regression,7,0.900,0.1000000,_,_,_,_,91.613,8.387,0.10130
Quadratic Logistic Regression,0,0.900,0.1000000,_,_,_,_,92.043,7.957,0.10150
Quadratic Logistic Regression,9,0.900,10.0000000,_,_,_,_,89.204,10.796,0.10214
Quadratic Logistic Regression,0,0.900,10.0000000,_,_,_,_,89.634,10.366,0.10277
Quadratic Logistic Regression,8,0.900,10.0000000,_,_,_,_,88.860,11.140,0.10287
Quadratic Logistic Regression,0,0.900,1.0000000,_,_,_,_,90.710,9.290,0.10339
Quadratic Logistic Regression,6,0.900,1.0000000,_,_,_,_,90.108,9.892,0.10505
